   ;KUNDE;PRIVAT;JAHR;LEASINGOBJEKT;OBJEKTTYP;KRAFTSTOFF
44;2312131027;0;2020;VW Touareg R-Line TDI SCR 4MOTION DSG;Fahrzeuge / PKW, Kombi;B
45;2908934787;1;2022;BMW 3er-Reihe G21 320e Touring G21 XB1;Fahrzeuge / PKW, Kombi;Benzin - Hybrid
46;1500719568;0;2022;VW Transporter T6 Kombi (Klein-LKW)  LR TDI 4Motion Diesel 110KW;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
47;29500183;0;2022;Wittmann Battenfeld Temperiergerät Tempro-Plus-D-1 u. Tempro-Plus-D-2 u. 2 Stk. Wiegezellen-Dosiergeräte, Trocknung Drymax-Primus inkl. Einzelfördergeräten und Zubehör;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
48;1643185231;1;2020;Nissan Qashqai ECFDQ53NEL;Fahrzeuge / PKW, Kombi;
49;432179496;1;2021;KIA Ceed Silber 1.0 TGDI;Fahrzeuge / PKW, Kombi;
50;2799075873;1;2022;Audi A6 Avant TDI Quattro;Fahrzeuge / PKW, Kombi;D
51;2802460280;1;2022;CUPRA Formentor 2,0 TDI;Fahrzeuge / PKW, Kombi;Strom
52;3235082283;0;2022;Bandkonfektionieranlage Wanzke inkl. Walzenvorschub Wanzke A-WVS-1550;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
53;3200650374;0;2022;Umschlagbagger Sennebogen 830 M-HD mit Zubehör;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);Diesel
54;3200650374;0;2023;Schwarzmüller 3-Achs-Großraum-Aluminium-Hohlprofilmulden-Kippsattelanhänger;Fahrzeuge / Anhänger;Nicht zuordenbar
55;3200650374;0;2023;Mobile Trommelsiebmaschine Komptech Maxx 518 Trailer mit Zubehör;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);Diesel
56;3200650374;0;2023;Kompetech Topturn 5000 X;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
57;3200650374;0;2023;Volvo Radlader L90H2 mit Zubehör;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);Diesel
58;3181577708;1;2022;Toyota Hi Lux (Klein-LKW) DK Active 4WD 2,4 D-4D 110kw, Diesel, 4-Türer, Pick up;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);
59;1433231623;0;2020;SZM Volvo FH 540;Fahrzeuge / LKW über 3,5t;
60;1433231623;0;2020;SZM Volvo FH 540;Fahrzeuge / LKW über 3,5t;
61;1433231623;0;2020;SZM Volvo FH 540;Fahrzeuge / LKW über 3,5t;
62;1433231623;0;2020;SZM Volvo FH 540;Fahrzeuge / LKW über 3,5t;
63;1433231623;0;2020;SZM Volvo FH 540;Fahrzeuge / LKW über 3,5t;
64;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
65;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
66;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
67;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
68;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
69;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
70;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
71;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
72;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
73;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
74;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
75;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
76;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
77;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
78;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
79;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
80;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
81;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
82;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
83;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
84;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
85;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
86;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
87;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
88;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
89;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
90;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
91;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
92;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
93;1433231623;0;2023;LKW Volvo FH 500;Fahrzeuge / Sattelzugmaschinen;Diesel
94;3247385890;0;2020;Raupenbagger Kobelco SK85 inkl. Zubehör;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);D
95;2562987412;0;2022;Filter Test Center Donaldson FTC-i;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
96;2562987412;0;2023;Ultraschallschweißgerät Herrmann HiQ G1 Vario;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
97;1183192331;0;2020;LKW DAF FAN CF inkl Kran und Aufbau;Fahrzeuge / LKW über 3,5t;D
98;1149016906;0;2022;Renault Kangoo Z.E. Maxi;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);
99;1149016906;0;2021;Renault Espace;Fahrzeuge / Kleinautobusse (bis 3,5t);B
100;253497360;0;2023;Tesla Model Y (Elektro) Long Range AWD 75kWh;Fahrzeuge / PKW, Kombi;Strom
101;253497360;0;2021;Ford Transit (Klein-LKW) Pritsche DoKa 2,0 EcoBlue AWD L3H1 350 Trend 125kw, Diesel, 4-Türer, Pritsche Doppelkabine, Diesel;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);
102;253497360;0;2021;Ford Transit (Klein-LKW) Pritsche 2,0 EcoBlue L3H1 350 Trend 125kw, Diesel, 2-Türer, Pritsche, Diesel;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);
103;253497360;0;2021;Techno Fast CNC Bearbeitungszentrum;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
104;253497360;0;2022;Ford Ranger Doppelkabine XL 4x4 2,0 EcoBlue 96kw, Diesel, 4-Türer, Pick up;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
105;1350958448;0;2022;Bagger Liebherr LH30M G6.0-D inkl. Zubehör;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);
106;1350958448;0;2022;Photovoltaikanlage inkl. Zubehör;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
107;1350958448;0;2022;Schrottschere ArnoCut 850;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
108;1350958448;0;2022;2 Stück Anhänger HKM BTA G18 ZL 5.0 und Anhänger HKM A 14 TEB 1.2;Fahrzeuge / Anhänger;Nicht zuordenbar
109;1350958448;0;2021;2-Achs-Vario-Carrier-Anhänger Hüffermann und 2-Achs-Flex-Carrier-Anhänger Hüffermann;Fahrzeuge / Anhänger;
110;1350958448;0;2021;Bagger Liebherr LH26 C Industry G6.0-E Litronic;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
111;1350958448;0;2022;Stapler JCB Teletruk 35-26;Technische Anlagen und Maschinen / Stapler (Diesel-Treibgas-Elektro);Diesel
112;1350958448;0;2023;2 Stück Anhänger Vako TXC342.2S und 2-Achs-Mini-Carrier-Anhänger Hüffermann;Fahrzeuge / Anhänger;Nicht zuordenbar
113;1350958448;0;2022;2-Achs Roll-Carrier Anhänger Hüffermann und Anhänger Hüffermann HAR 18.65;Fahrzeuge / Anhänger;Nicht zuordenbar
114;1350958448;0;2022;Bagger Sennebogen 817 Serie E, BJ: 2019 mit Trommelsiebanlage Pronar, BJ: 2018;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);
115;1350958448;0;2022;6 Stück Anhänger HKM BTA;Fahrzeuge / Anhänger;Nicht zuordenbar
116;1350958448;0;2022;Bagger Liebherr LH26 M Industry G6.0D Litronic;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);
117;1350958448;0;2023;Radlader Liebherr L 526 G8.0-D;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);
118;1350958448;0;2023;Stapler Still RX 70-50;Technische Anlagen und Maschinen / Stapler (Diesel-Treibgas-Elektro);Diesel
119;1350958448;0;2023;3-Achs-Anhänger Hüffermann Flex-Carrier und 2-Achs-Anhänger Hüffermann Flex-Carrier;Fahrzeuge / Anhänger;Nicht zuordenbar
120;1350958448;0;2023;Anhänger Vako Pacton TXC342.2S;Fahrzeuge / Anhänger;Nicht zuordenbar
121;1350958448;0;2024;Stapler Still RX 70-50/600;Technische Anlagen und Maschinen / Stapler (Diesel-Treibgas-Elektro);Diesel
122;1350958448;0;2023;Anhängerpaket gemäß Anlage;Fahrzeuge / Anhänger;Nicht zuordenbar
123;2744263447;0;2021;Mercedes-Benz X-Klasse X350D;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);
124;1186700238;0;2022;Zuschnittsäge HOMAG SAWTEQ B-300 profiLine mit Zubehör;Technische Anlagen und Maschinen / Maschinen & Industrieanlagen;
125;1537849526;1;2022;Peugeot 3008 BlueHDi 130 S&S EAT8 Active Pack 96kw, Diesel, 5-Türer, SUV;Fahrzeuge / PKW, Kombi;
126;3526660006;0;2022;LKW Volvo FMX 540 8x4 mit Dreiseitenkipper MEILLER D421;Fahrzeuge / LKW über 3,5t;Diesel
127;3526660006;0;2023;Minibagger Kobelco SK50SRx-7;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);Diesel
128;3526660006;0;2023;Volvo Kettenbagger EC300ENL mit Zubehör;Fahrzeuge / Sonderfahrzeuge (Bau-, Erntemaschinen, etc.);Diesel
129;3022582817;1;2020;Dacia Sandero Celebration;Fahrzeuge / PKW, Kombi;
130;3484821017;0;2022;Audi A4 Limousine 30 TDI;Fahrzeuge / PKW, Kombi;Diesel
131;2676722696;0;2021;Jeep Compass MY 21     1,6 Multijet FWD 6MT Longitude  DW Hr. Patocka;Fahrzeuge / PKW, Kombi;Diesel
132;2676722696;0;2021;LKW IVECO X-Way AS 440X51T/P ON+ Mietmodell: Kde Magyer;Fahrzeuge / LKW über 3,5t;Diesel
133;2676722696;0;2021;Peugeot 3008  GT Pack Blue HDi 130 DW Hr. Rom;Fahrzeuge / PKW, Kombi;Diesel
134;2676722696;0;2021;Fiat Tipo Cross MultiJet SCR   DW Hr. Friedl;Fahrzeuge / PKW, Kombi;Diesel
135;2676722696;0;2021;Alfa  Stelvio MY21    2,2  16V 190 AT8 Q4   Dw Hr. Köberl;Fahrzeuge / PKW, Kombi;Diesel
136;2676722696;0;2022;Peugeot Partner KW Standard BlueHDi 100 S&S Premium Werkstättenfahrzeug;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
137;2676722696;0;2021;Peugeot 2008 GT Pack Blue HDi 130 DW Hr. Horvath;Fahrzeuge / PKW, Kombi;Diesel
138;2676722696;0;2021;Peugeot 5008 GT Pack  Blue HDi 180 DW Hr. Stohl;Fahrzeuge / PKW, Kombi;Diesel
139;2676722696;0;2021;Peugeot 3008 Allure Blue HDi 130 EAT 8    DW Fr. Ulrich;Fahrzeuge / PKW, Kombi;Diesel
140;2676722696;0;2021;Peugeot 2008 GT Pack Blue HDi 130 DW Hr. Kurz;Fahrzeuge / PKW, Kombi;Diesel
141;2676722696;0;2021;Peugeot 5008 Allure Pack BlueHDi 130 EAT8  DW Hr. Moser Andreas;Fahrzeuge / PKW, Kombi;Diesel
142;2676722696;0;2021;Jeep Compass MY 21     1,6 Multijet FWD 6MT Ltd. DW Fr. Benova-Markova;Fahrzeuge / PKW, Kombi;Diesel
143;2676722696;0;2022;Jeep Compass MY 22    1,6 Multijet FWD Ltd.  DW Hr. Schönberger;Fahrzeuge / PKW, Kombi;
144;2676722696;0;2021;Fiat Tipo Cross MultiJet SCR   DW Hr. Beck;Fahrzeuge / PKW, Kombi;Diesel
145;2676722696;0;2021;Opel Insignia GS Business  2,0 CDTI DW Hr. Rieger;Fahrzeuge / PKW, Kombi;Diesel
146;2676722696;0;2021;Peugeot 2008 E-GT Pack  Dw. Hr. Parato;Fahrzeuge / PKW, Kombi;Strom
147;2676722696;0;2021;Peugeot 5008 Allure Pack Blue HDi    DW Hr. Lalovic;Fahrzeuge / PKW, Kombi;Diesel
148;2676722696;0;2021;Citroen DS7 Crossback BlueHDi 130 EAT8 Bastille+ DW Hr. Stiedl;Fahrzeuge / PKW, Kombi;Diesel
149;2676722696;0;2021;Opel Insignia ST  Business Eleg. 2,0 CDTI DW  Hr. LEE;Fahrzeuge / PKW, Kombi;Diesel
150;2676722696;0;2022;Peugeot 308 SW GT BHDi 130 EAT8 DW Hr. Wallner;Fahrzeuge / PKW, Kombi;Diesel
151;2676722696;0;2020;Alfa Stelvio MY 21    2,2 16V AT8 Q4 Business  DW Hr. Peschel;Fahrzeuge / PKW, Kombi;Diesel
152;2676722696;0;2021;Citroen C5 Aircross BHD 130 Feel   DW Hr. Alilovic;Fahrzeuge / PKW, Kombi;Diesel
153;2676722696;0;2021;Fiat Tipo Cross MultiJet SCR   DW Hr. Friedl;Fahrzeuge / PKW, Kombi;Diesel
154;2676722696;0;2021;Opel ZAFIRA Life ED Länge M 1,5 HDI   DW Hr. Wöhrer;Fahrzeuge / PKW, Kombi;Diesel
155;2676722696;0;2022;IVECO Daily 35S14HA8   Werkstättenfahrzeug m. Zbh.  NL Mäder;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
156;2676722696;0;2021;Alfa Stelvio MY 21    2,2 16V AT8 Q4 Business  DW Hr. Raml;Fahrzeuge / PKW, Kombi;Diesel
157;2676722696;0;2021;Alfa Stelvio MY 21    2,2 16V AT8 Business  Dw. Hr. Glatz;Fahrzeuge / PKW, Kombi;Diesel
158;2676722696;0;2022;Alfa  Stelvio MY22    2,2  16V 190 AT8 Q4   Dw Hr. Häufele;Fahrzeuge / PKW, Kombi;Diesel
159;2676722696;0;2021;Peugeot 5008 GT Blue HDi 180 DW Hr. Karall;Fahrzeuge / PKW, Kombi;Diesel
160;2676722696;0;2023;Citroen C4 BlueHDi 130 S&S  EAT8 Shine Edition DW Hr. Obergruber;Fahrzeuge / PKW, Kombi;Diesel
161;2676722696;0;2022;Peugeot 308 SW GT BHDi 130 EAT8 DW Hr. Mikic;Fahrzeuge / PKW, Kombi;Diesel
162;2676722696;0;2021;Opel INSIGNIA GS Business 2,0 CDTI    DW Hr. Macus;Fahrzeuge / PKW, Kombi;Diesel
163;2676722696;0;2021;Peugeot 3008 Allure Blue HDi 130 DW Hr. Stadlmüller;Fahrzeuge / PKW, Kombi;Diesel
164;2676722696;0;2021;Opel Insignia ST Business Eleg. 2,0 CDTI DW Hr. Pfann;Fahrzeuge / PKW, Kombi;Diesel
165;2676722696;0;2020;Fiat Tipo Kombi  Serie 1 Mj 120 SCR DCT S-Design   Dw Hr. Schandl;Fahrzeuge / PKW, Kombi;Benzin
166;2676722696;0;2020;Jeep Renegade Ltd. MY20  2,0 MJ II   4x4  9AT  Dw Hr. Hofbauer;Fahrzeuge / PKW, Kombi;Diesel
167;2676722696;0;2020;Alfa Romeo Giulietta B-Tech 1,6    DW Hr. Maschler;Fahrzeuge / PKW, Kombi;Diesel
168;2676722696;0;2020;Fiat 500X Sport serie 4  1,6Mj 120 SCR DCT Sport    DW  Hr. Wallner;Fahrzeuge / PKW, Kombi;Benzin
169;2676722696;0;2020;Fiat Tipo Kombi  Serie 1 Mj 120 SCR DCT S-Design   Dw Hr. Radlingmaier;Fahrzeuge / PKW, Kombi;Benzin
170;2676722696;0;2020;LKW IVECO AS 440 X48  T/P on+   Mietmodell: Magyar;Fahrzeuge / LKW über 3,5t;D
171;2676722696;0;2022;Alfa  Stelvio MY22    2,2  16V 210 AT8 Q4   Dw Hr. Zeilermayr;Fahrzeuge / PKW, Kombi;Diesel
172;2676722696;0;2022;Alfa  Stelvio MY22    2,0  16V 280 AT8 Q4   Dw Hr. KR Stranzl;Fahrzeuge / PKW, Kombi;Benzin
173;2676722696;0;2022;Opel INSIGNIA ST Business 2,0 CDTI    DW Hr. Holzinger;Fahrzeuge / PKW, Kombi;Diesel
174;2676722696;0;2020;Alfa Stelvio MY 20   2,2 16V AT8 DW Fr. Puthenpurackal;Fahrzeuge / PKW, Kombi;Diesel
175;2676722696;0;2020;Jeep Renegade MY 20 Longitude 4x4  DW Hr. Klosius;Fahrzeuge / PKW, Kombi;Diesel
176;2676722696;0;2020;LKW IVECO X-Way AS440X51T/P ON+ Mietmodell Fa. Magyer;Fahrzeuge / LKW über 3,5t;Diesel
177;2676722696;0;2020;Jeep Cherokee MY19 2,2 Diesel Ltd AWD 9AT  Dw Fr. Stadler;Fahrzeuge / PKW, Kombi;Diesel
178;2676722696;0;2020;Fiat Talento Serie 1 L1H1 Panorama 2,0 EcoJet    DW Hr. Friedrich;Fahrzeuge / PKW, Kombi;Diesel
179;2676722696;0;2022;Jeep Compass MY 22    1,6 Multijet FWD Ltd.  DW Hr. Orth;Fahrzeuge / PKW, Kombi;
180;2676722696;0;2022;Opel Combo Life 1,5 CDTI BlueInj. XL L2 Dw Hr. Thallinger;Fahrzeuge / Kleinautobusse (bis 3,5t);D
181;2676722696;0;2020;Alfa Giulia MY 20  2,2 16V  AT8     DW Hr. Holzinger;Fahrzeuge / PKW, Kombi;Diesel
182;2676722696;0;2020;Alfa Giulia MY 20  2,2 16V  AT8     DW Hr. Häufele;Fahrzeuge / PKW, Kombi;Diesel
183;2676722696;0;2020;Alfa Giulia MY20  2,2 16V AT8 DW Hr. Gratschmayer;Fahrzeuge / PKW, Kombi;Diesel
184;2676722696;0;2020;Alfa Giulia MY20 2,2 16V AT8    DW Hr. Wögerbauer;Fahrzeuge / PKW, Kombi;Diesel
185;2676722696;0;2020;Fiat Tipo Kombi  Serie 1 Mj 120 SCR DCT Lounge   Dw Hr. Hirschmugl;Fahrzeuge / PKW, Kombi;Diesel
186;2676722696;0;2020;Alfa Stelvio MY 2,2 16V AT8 DW Hr. Moser Thomas;Fahrzeuge / PKW, Kombi;Diesel
187;2676722696;0;2020;Alfa  Stelvio  MY20 2,2 16V AT8 Q4 Veloce DW - Hr. Höllerer;Fahrzeuge / PKW, Kombi;Diesel
188;2676722696;0;2022;Peugeot 3008 GT Hybrid 225 e- EAT 8    DW Hr. Blazek;Fahrzeuge / PKW, Kombi;Benzin - Hybrid
189;2676722696;0;2022;IVECO 35S14V L4H2 BFZ Wkst Wien   LKW I;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
190;2676722696;0;2022;Fiat Fiorino KW 95 Adventure;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
191;2676722696;0;2022;Peugeot Partner Standard BHDI 100 S&S;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
192;2676722696;0;2022;IVECO 35S14V L4H2 BFZ Wkst Eugendorf;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
193;2676722696;0;2022;LKW IVECO S-Way AS 440S49T/P Mietmodell: Kde Lembacher;Fahrzeuge / LKW über 3,5t;Diesel
194;2676722696;0;2022;IVECO 35S16H BFZ Wkst Wien   LKW II;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
195;2676722696;0;2022;Citroen C5 Aircross BlueHDi 130 S&S Feel DW Hr. Klosius;Fahrzeuge / PKW, Kombi;Diesel
196;2676722696;0;2024;Fiat Fiorino KW 95 Adventure;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
197;2676722696;0;2022;Opel Astra Sports Tourer GS Line 1,5 CDTI    DW  IVECO Friedrich;Fahrzeuge / PKW, Kombi;Diesel
198;2676722696;0;2022;Peugeot 308 SW Allure Pack BHDi 130   DW Hr. Weiskopf;Fahrzeuge / PKW, Kombi;Diesel
199;2676722696;0;2022;IVECO 35S14V L4H2 BFZ Wkst Hörsching;Fahrzeuge / Kastenwg, Pritschenwg (bis 3,5t);Diesel
